,STATION,DATE,DEWP,FRSHTT,MAX,MIN,MXSPD,PRCP,SLP,TEMP,VISIB,WDSP
0,98222099999,2001-01-09,74.9,0,86.9,77.7,5.8,0.0,1010.5,81.5,15.1,2.7
1,98222099999,2001-01-10,74.6,0,88.2,73.4,3.9,0.0,1009.8,81.6,15.2,2.4
2,98222099999,2001-01-11,72.2,10000,85.6,74.5,7.8,0.0,1011.0,79.5,15.5,4.4
3,98222099999,2001-01-12,72.7,0,90.0,60.1,3.9,0.0,1011.6,79.8,15.5,1.9
4,98222099999,2001-01-13,69.4,0,84.7,71.2,15.5,0.0,1012.1,77.8,13.8,8.6
5,98222099999,2001-01-14,63.4,0,90.5,68.7,9.7,0.0,1012.8,80.1,13.8,5.3
6,98222099999,2001-01-15,62.6,0,86.9,72.1,7.8,0.0,1015.3,79.3,15.5,5.3
7,98222099999,2001-01-16,60.7,0,87.4,75.2,11.7,0.0,1016.1,78.7,15.5,10.2
8,98222099999,2001-01-17,64.1,0,89.2,74.5,11.7,0.0,1014.8,81.2,15.5,11.1
9,98222099999,2001-01-18,66.8,0,83.5,73.2,5.8,0.0,1015.1,77.7,15.5,3.1
10,98222099999,2001-01-19,69.6,0,86.0,72.5,5.8,0.0,1015.1,82.6,14.9,3.1
11,98222099999,2001-01-20,70.7,0,85.1,72.3,5.8,0.0,1014.6,81.7,15.5,3.5
12,98222099999,2001-01-21,69.2,0,85.3,71.2,7.8,0.0,1012.4,79.8,14.2,4.2
13,98222099999,2001-01-22,71.5,0,88.2,73.4,5.8,0.0,1012.3,81.0,14.5,2.6
14,98222099999,2001-01-23,71.8,0,85.6,72.7,9.7,0.0,1013.0,80.2,15.5,5.2
15,98222099999,2001-01-24,73.6,0,86.4,72.0,9.7,0.0,1011.8,82.1,19.3,4.9
16,98222099999,2001-01-25,72.9,0,86.4,71.8,5.8,0.0,1010.8,79.0,14.0,3.6
17,98222099999,2001-01-26,72.6,0,91.4,73.6,9.7,0.0,1011.3,80.7,14.8,3.6
18,98222099999,2001-01-27,72.4,0,88.5,72.5,9.7,0.0,1011.3,84.1,14.3,5.4
19,98222099999,2001-01-28,73.0,0,86.7,75.6,7.8,0.0,1011.9,83.8,12.4,4.3
20,98222099999,2001-01-29,69.3,0,85.3,71.6,15.5,0.0,1012.6,79.7,15.5,9.4
21,98222099999,2001-01-30,72.2,0,86.4,71.2,11.7,0.0,1010.2,78.9,15.1,7.0
22,98222099999,2001-01-31,71.9,0,87.1,73.0,19.4,0.0,1009.1,81.0,15.5,6.4
23,98222099999,2001-02-01,73.2,0,84.6,73.8,15.5,0.08,1008.9,79.9,13.2,6.6
24,98222099999,2001-02-02,69.1,0,88.7,71.2,3.9,0.0,1009.4,81.2,14.0,2.9
25,98222099999,2001-02-03,70.7,0,91.4,74.1,5.8,0.0,1011.0,81.4,14.5,3.6
26,98222099999,2001-02-04,72.6,0,89.4,74.8,7.8,0.0,1011.7,82.7,12.9,4.2
